Score,Summary,Text,Sentiment,Content
5,Berry Berry Good,This product arrived quickly and in good condition.  The flavor is definitely blackberry and is good when I add it to tea.,positive,Berry Berry Good. This product arrived quickly and in good condition.  The flavor is definitely blackberry and is good when I add it to tea.
4,Great pizza crust,"This was pleasantly surprising. Ordered a case from Amazon the day after trying it for the first time. Makes great bread sticks, a decent french bread loaf, and a pizza crust reminiscent of what we had in Italy. (That's all I've tried so far.) I accidentally added salt twice to the pizza crust, and found it improved the flavor, which I think is a little flat. It works fine in a bread machine without a GF option, tho' it is stickier than other mixes I've used.",positive,"Great pizza crust. This was pleasantly surprising. Ordered a case from Amazon the day after trying it for the first time. Makes great bread sticks, a decent french bread loaf, and a pizza crust reminiscent of what we had in Italy. (That's all I've tried so far.) I accidentally added salt twice to the pizza crust, and found it improved the flavor, which I think is a little flat. It works fine in a bread machine without a GF option, tho' it is stickier than other mixes I've used."
1,What A Mistake!,"I found out the hard way I was looking for a different brand of instant potatoes.  This brand is horribly salty. I had to donate them to a ""food pantry"" even though I should have thrown them away to avoid making someone else sick.  I am on a low sodium diet and these would of put my health in jeopardy.  Not only that but they didn't even taste good.  Did I mention they were ""horribly salty""?<br /><br />Too bad I bought two cases!!!<br /><br />The brand that I was looking for if you can find them was ""Nana's Own"" instant mashed potatoes.",negative,"What A Mistake!. I found out the hard way I was looking for a different brand of instant potatoes.  This brand is horribly salty. I had to donate them to a ""food pantry"" even though I should have thrown them away to avoid making someone else sick.  I am on a low sodium diet and these would of put my health in jeopardy.  Not only that but they didn't even taste good.  Did I mention they were ""horribly salty""?<br /><br />Too bad I bought two cases!!!<br /><br />The brand that I was looking for if you can find them was ""Nana's Own"" instant mashed potatoes."
5,Favorite of my dog's food,"This is, by far, the favorite of my dogs canned food(one of the more expensive, of course).  If I want to be sure she is eating, I just put this down.  She has never failed to clean her bowl when it contains the lamb.  Her digestive system seems to handle it quite well for canned food.  My only complaint is the cost, but she is worth it.",positive,"Favorite of my dog's food. This is, by far, the favorite of my dogs canned food(one of the more expensive, of course).  If I want to be sure she is eating, I just put this down.  She has never failed to clean her bowl when it contains the lamb.  Her digestive system seems to handle it quite well for canned food.  My only complaint is the cost, but she is worth it."
5,Deja Vu,"I love this candy--reminds me of when I was a teenager.  If you loved zots, I would definitely recommend purchasing it.",positive,"Deja Vu. I love this candy--reminds me of when I was a teenager.  If you loved zots, I would definitely recommend purchasing it."
5,Yummy sauce!,"This sauce is an excellent blend of sweet and spicy.  I love it with eggrolls, rice, just about anything that needs an extra kick.  Give it a try!",positive,"Yummy sauce!. This sauce is an excellent blend of sweet and spicy.  I love it with eggrolls, rice, just about anything that needs an extra kick.  Give it a try!"
4,a darn good pitcher of tea,I have been making black tea in my bodum iced tea pitcher and wanted to try a nice loose green. This one works perfectly. It has a mild taste that is very fresh.,positive,a darn good pitcher of tea. I have been making black tea in my bodum iced tea pitcher and wanted to try a nice loose green. This one works perfectly. It has a mild taste that is very fresh.
4,Great food but pricey.,I loved this food for our puppy.  We just couldn't afford it anymore.  One bag barely lasted 3 weeks.  It's great quality though.,positive,Great food but pricey.. I loved this food for our puppy.  We just couldn't afford it anymore.  One bag barely lasted 3 weeks.  It's great quality though.
5,curry,"I've always loved Thai yellow curries, but never had much luck trying to duplicate what I had in restaurants.  It's pretty easy, now that I have the right prime ingredient.  It took me a long time to discover Mae Ploy, but I'm glad I did.",positive,"curry. I've always loved Thai yellow curries, but never had much luck trying to duplicate what I had in restaurants.  It's pretty easy, now that I have the right prime ingredient.  It took me a long time to discover Mae Ploy, but I'm glad I did."
4,only way to buy,same great product and a better price than the health food store...delivered to my door,positive,only way to buy. same great product and a better price than the health food store...delivered to my door
5,Really Tasty And Versatile...,"I do a lot of hiking and camping, and have used quite a few dried products from Barry Farms. If you don't mind the taste of dried dairy and veggie products, there is just about nothing you will not find that they haven't managed to dry and bag.  Most of the products by them I came into acquaintance with way back when my son was a youngin' and in the scouts and we did a lot of camping.  A few of the products have stayed with me as extra tasty and versatile now that I am tending to face the savage wilderness alone.  Barry's red bell pepper is one of the best items to have along on a hike, or just to have included in any survival kit.  Bell peppers dress up and add some spice to just about any meat, fish, or stew that you can manage to put together out in the wilderness. And as already noted in the other review, dried products such as this last literally for years without spoiling. This dried pepper is for some reason a lot more favorable to me than genuine bell pepper.  A lot of dried products from Barry Farms have spices added, so perhaps it is the excellent garnish they use.  In any event, a little of this pepper goes a long way.  So don't let the small 2 oz package fool you.  I not only recommend this to add some fine flavoring to whatever campfire cooking you encounter, but I also recommend checking out some of the products by Barry Farms.  They're not all worth it or as flavorful, but most of them are.  And like the other reviewer here, I also recommend you buy several products at once and save a bundle on the shipping.  Recommended...",positive,"Really Tasty And Versatile.... I do a lot of hiking and camping, and have used quite a few dried products from Barry Farms. If you don't mind the taste of dried dairy and veggie products, there is just about nothing you will not find that they haven't managed to dry and bag.  Most of the products by them I came into acquaintance with way back when my son was a youngin' and in the scouts and we did a lot of camping.  A few of the products have stayed with me as extra tasty and versatile now that I am tending to face the savage wilderness alone.  Barry's red bell pepper is one of the best items to have along on a hike, or just to have included in any survival kit.  Bell peppers dress up and add some spice to just about any meat, fish, or stew that you can manage to put together out in the wilderness. And as already noted in the other review, dried products such as this last literally for years without spoiling. This dried pepper is for some reason a lot more favorable to me than genuine bell pepper.  A lot of dried products from Barry Farms have spices added, so perhaps it is the excellent garnish they use.  In any event, a little of this pepper goes a long way.  So don't let the small 2 oz package fool you.  I not only recommend this to add some fine flavoring to whatever campfire cooking you encounter, but I also recommend checking out some of the products by Barry Farms.  They're not all worth it or as flavorful, but most of them are.  And like the other reviewer here, I also recommend you buy several products at once and save a bundle on the shipping.  Recommended..."
5,new zico bottles are FANTASTIC!,"Thank you ZICO! i love the new bottles. I was a huge fan of the tetra packs but i couldnt take em anywhere. I've been taking the new bottle to gym, in my bike and just walking around. The pomberry is my fave. The natural in a bottle tastes more like coconut water straight from a coconut. Love 'em! come out with some more flavors soon!",positive,"new zico bottles are FANTASTIC!. Thank you ZICO! i love the new bottles. I was a huge fan of the tetra packs but i couldnt take em anywhere. I've been taking the new bottle to gym, in my bike and just walking around. The pomberry is my fave. The natural in a bottle tastes more like coconut water straight from a coconut. Love 'em! come out with some more flavors soon!"
5,Excellent. I prefer It To The Cubes.,"Some time ago I ran out of chicken-flavored bouillon cubes and the store had none. However, they had 7.9 ounce jars of same. Well, I'd never tried the jars before but why not? As it turned out, I preferred the jar to the cubes. Well, next I was out of beef bouillon cubes and ran into the same problem. Same solution too. I bought the 7.9 ounce jar. It's excellent. Just yesterday I made a beef-flavored soup/stew and used the bouillon as a flavoring agent. Everything turned out perfect. This stuff has a real high sodium content, so I eliminated salt as an ingredient. The result was excellent!<br /><br />Gary Peterson",positive,"Excellent. I prefer It To The Cubes.. Some time ago I ran out of chicken-flavored bouillon cubes and the store had none. However, they had 7.9 ounce jars of same. Well, I'd never tried the jars before but why not? As it turned out, I preferred the jar to the cubes. Well, next I was out of beef bouillon cubes and ran into the same problem. Same solution too. I bought the 7.9 ounce jar. It's excellent. Just yesterday I made a beef-flavored soup/stew and used the bouillon as a flavoring agent. Everything turned out perfect. This stuff has a real high sodium content, so I eliminated salt as an ingredient. The result was excellent!<br /><br />Gary Peterson"
1,Terrible Taste,"This product is a disappointment. There was more of a candy coating than sunflower seed and the candy was not tasty at all. It had a stale and smoky quality to it that I did not expect and I could not find one person that tried them who liked the taste at all. The best part of these, unfortunately, is their look and vibrant colors - that's about it.",negative,"Terrible Taste. This product is a disappointment. There was more of a candy coating than sunflower seed and the candy was not tasty at all. It had a stale and smoky quality to it that I did not expect and I could not find one person that tried them who liked the taste at all. The best part of these, unfortunately, is their look and vibrant colors - that's about it."
5,GREAT SNACK BARS!!!,"I love these. They are really handy to take to school, work, etc. They taste AMAZING. I like all the flavors in the variety box. They are really easy to take on vacations, etc. I would recommend these to anyone who loves a lot of flavor without sacrificing their health!",positive,"GREAT SNACK BARS!!!. I love these. They are really handy to take to school, work, etc. They taste AMAZING. I like all the flavors in the variety box. They are really easy to take on vacations, etc. I would recommend these to anyone who loves a lot of flavor without sacrificing their health!"
5,Savory Treat: 13 ingredients: addictive: Vegan and Gluten Free,"In the future, I will only order these in the winter.  The truck that delivered them got too hot in the July so that when the bars arrived they were all a bit melted and the molasses and peanut butter is now sticking to the side of the wrappers.<br /><br />That said, due to all of the peanuts and over abundance of sticky stuff, the bars stuck together and they taste fantastic.  Not too sweet, not too salty.<br /><br />Certified Gluten Free. Vegan.<br /><br />Here are the ingredients: Organic Peanuts, Raisins, Brown Rice Syrup, Peanut Flour, Organic Tapioca Syrup, Organic Agave fiber, Peanut Butter (Peanuts), Chia Seeds, Molasses, Sea Salt, Coconut Oil, Water, Natural Flavor<br /><br />Here is the nutritional information:<br />Serving Size: 1 bar (43 grams)<br />Calories: 200<br />Fat Calories: 110<br />Total Fat: 12 g<br />Sat. Fat 2 g<br />Sodium: 230 mg<br />Potassium: 260 mg<br />Carb: 18 g<br />Fiber: 5 g<br />Sugars: 9 g<br />Protein: 7 g<br />Calcium: 2%<br />Iron: 6%<br /><br />I really love that these bars have only 9 g of sugar and 5 g of fiber, the the whole peanuts have a satisfying crunch.<br /><br />My only problem, is that it is hard to eat just one.  So these will end up at my locker at the gym, so that I don't snack on them mindlessly.",positive,"Savory Treat: 13 ingredients: addictive: Vegan and Gluten Free. In the future, I will only order these in the winter.  The truck that delivered them got too hot in the July so that when the bars arrived they were all a bit melted and the molasses and peanut butter is now sticking to the side of the wrappers.<br /><br />That said, due to all of the peanuts and over abundance of sticky stuff, the bars stuck together and they taste fantastic.  Not too sweet, not too salty.<br /><br />Certified Gluten Free. Vegan.<br /><br />Here are the ingredients: Organic Peanuts, Raisins, Brown Rice Syrup, Peanut Flour, Organic Tapioca Syrup, Organic Agave fiber, Peanut Butter (Peanuts), Chia Seeds, Molasses, Sea Salt, Coconut Oil, Water, Natural Flavor<br /><br />Here is the nutritional information:<br />Serving Size: 1 bar (43 grams)<br />Calories: 200<br />Fat Calories: 110<br />Total Fat: 12 g<br />Sat. Fat 2 g<br />Sodium: 230 mg<br />Potassium: 260 mg<br />Carb: 18 g<br />Fiber: 5 g<br />Sugars: 9 g<br />Protein: 7 g<br />Calcium: 2%<br />Iron: 6%<br /><br />I really love that these bars have only 9 g of sugar and 5 g of fiber, the the whole peanuts have a satisfying crunch.<br /><br />My only problem, is that it is hard to eat just one.  So these will end up at my locker at the gym, so that I don't snack on them mindlessly."
5,product discontinued,"I have just been told by 'back to NATURE' that this has been discontinued.<br /><br />We started noticing that it was disappearing from shelves all over our area about 2 months ago. We asked every place to check for availability, yet never heard anything other than it is backordered.<br /><br />I used 'back to NATURE' website to do the 'contact us' thing twice and never received a response.<br /><br />I came to Amazon while searching online and placed myself on the notify when this product becomes available list.<br /><br />Today I decided to try and call back to NATURE. I spoke with the person that answered the phone, she said she could help, and after discussing my difficulty finding the product she offered to 'research' and get back to me. I must note she attempted to collect quite of bit of personal information. She assured me that I could simply go back to the local groceries and ask why they were not stocking it however I insisted that it was not available anywhere nor here on Amazon so the problem was not my grocer.<br /><br />I wasn't quite accepting her quick 'research, get back to me, and get of the phone approach' so I asked to talk to someone else and she got me on the line with her supervisor Lizzy.<br /><br />After reviewing the above and being offered a 'research and get back' solution I was a bit more insistant and it was then that she said '.. that product had been discontinued due to a lack of sales and once discontinued it is inlikely that it will become available again...'. At this point I was more than just a bit disapointed and shared with her that in my local market the 'Cranberry Pecan Granola' just happened to be the only one of their granola selections that was always selling out, week after week over the last several years and I found it curious that the one selection that did appear to sell was discontinued.<br /><br />I guess it is only popular here!",positive,"product discontinued. I have just been told by 'back to NATURE' that this has been discontinued.<br /><br />We started noticing that it was disappearing from shelves all over our area about 2 months ago. We asked every place to check for availability, yet never heard anything other than it is backordered.<br /><br />I used 'back to NATURE' website to do the 'contact us' thing twice and never received a response.<br /><br />I came to Amazon while searching online and placed myself on the notify when this product becomes available list.<br /><br />Today I decided to try and call back to NATURE. I spoke with the person that answered the phone, she said she could help, and after discussing my difficulty finding the product she offered to 'research' and get back to me. I must note she attempted to collect quite of bit of personal information. She assured me that I could simply go back to the local groceries and ask why they were not stocking it however I insisted that it was not available anywhere nor here on Amazon so the problem was not my grocer.<br /><br />I wasn't quite accepting her quick 'research, get back to me, and get of the phone approach' so I asked to talk to someone else and she got me on the line with her supervisor Lizzy.<br /><br />After reviewing the above and being offered a 'research and get back' solution I was a bit more insistant and it was then that she said '.. that product had been discontinued due to a lack of sales and once discontinued it is inlikely that it will become available again...'. At this point I was more than just a bit disapointed and shared with her that in my local market the 'Cranberry Pecan Granola' just happened to be the only one of their granola selections that was always selling out, week after week over the last several years and I found it curious that the one selection that did appear to sell was discontinued.<br /><br />I guess it is only popular here!"
5,"SWISS MISS HOT COCOA MIX, NO SUGAR ADDED","ABSOLUTELY DELICIOUS, AND HARD TO BELIEVE ONLY 60 CALORIES.<br />HAVE LOST WEIGHT USING THIS FOR A CHOCOLATE BAR SUBSTITUTE.<br />DEFINITELY WOULD RECOMMEND THIS ITEM.",positive,"SWISS MISS HOT COCOA MIX, NO SUGAR ADDED. ABSOLUTELY DELICIOUS, AND HARD TO BELIEVE ONLY 60 CALORIES.<br />HAVE LOST WEIGHT USING THIS FOR A CHOCOLATE BAR SUBSTITUTE.<br />DEFINITELY WOULD RECOMMEND THIS ITEM."
5,rose hip tea,"I ordered this to serve at a ""tea"" where I was speaking about roses.  It was a hit with those who were brave enough to try it.",positive,"rose hip tea. I ordered this to serve at a ""tea"" where I was speaking about roses.  It was a hit with those who were brave enough to try it."
5,Favorite Tea,"Stash Earl Grey Tea is my absolute favorite, but not always easy to find at the grocery stores. Buying it this way is more economical and so easy to have it delivered to my door.",positive,"Favorite Tea. Stash Earl Grey Tea is my absolute favorite, but not always easy to find at the grocery stores. Buying it this way is more economical and so easy to have it delivered to my door."
5,BEST SAUCE EVER!,And I don't mean just for Asian sauces.  This is easily the best sauce ever!  I put it on everything.  It's gotten out of hand.  I go out of my way to see what else I can have it with.  My latest thing is pouring some over peanuts and coating the peanuts with the sauce.  Then I eat the nuts with a spoon to keep my hands clean.  Sounds gross but it's so delicious.,positive,BEST SAUCE EVER!. And I don't mean just for Asian sauces.  This is easily the best sauce ever!  I put it on everything.  It's gotten out of hand.  I go out of my way to see what else I can have it with.  My latest thing is pouring some over peanuts and coating the peanuts with the sauce.  Then I eat the nuts with a spoon to keep my hands clean.  Sounds gross but it's so delicious.
5,Happy Customer,"Excellent customer service and product. Arrived very quickly and a well packaged item, a fun item to have around the office for a quick treat.",positive,"Happy Customer. Excellent customer service and product. Arrived very quickly and a well packaged item, a fun item to have around the office for a quick treat."
5,Almost as good as non GF!,"I bought this on a whim because I was craving strawberry shortcake... wow! The biscuits can be a bit crumbly, but the texture is not objectionable. The taste was great! I use this for sweet and regular biscuits.<br /><br />We also use this for pancakes, and they are almost indistinguishable from regular pancakes. I add vanilla, a touch of brown sugar and cinnamon for a treat. Yum!<br /><br />Tip - I've found that most gluten free ""bread"" products work better if you let the batter sit for about 15 minutes after mixing the dry and wet ingredients. It seems to activate the batter, which makes the resulting stuff lighter and more moist.",positive,"Almost as good as non GF!. I bought this on a whim because I was craving strawberry shortcake... wow! The biscuits can be a bit crumbly, but the texture is not objectionable. The taste was great! I use this for sweet and regular biscuits.<br /><br />We also use this for pancakes, and they are almost indistinguishable from regular pancakes. I add vanilla, a touch of brown sugar and cinnamon for a treat. Yum!<br /><br />Tip - I've found that most gluten free ""bread"" products work better if you let the batter sit for about 15 minutes after mixing the dry and wet ingredients. It seems to activate the batter, which makes the resulting stuff lighter and more moist."
5,Ice Pups a hit,"I made a ice cube tray of Ice Pups for my four dogs. The Husky, Rottie, Australian Shepherd and German Shepherd loved them. You'll want to feed them outside....they seem a little sticky.",positive,"Ice Pups a hit. I made a ice cube tray of Ice Pups for my four dogs. The Husky, Rottie, Australian Shepherd and German Shepherd loved them. You'll want to feed them outside....they seem a little sticky."
5,SUPERB! GREAT FOR BAKING!,"this is simply the best alternative to butter ever!!!  I use it when i bake, and the aroma is so nice~~~<br /><br />I've ordered multiple times, and my only gripe is sometimes amazon doesnt do a great job packing it and a container may get cracked, but they are the best when it comes to returns so no problem!!!<br /><br />MUST BUY! if looking for coconut oil!",positive,"SUPERB! GREAT FOR BAKING!. this is simply the best alternative to butter ever!!!  I use it when i bake, and the aroma is so nice~~~<br /><br />I've ordered multiple times, and my only gripe is sometimes amazon doesnt do a great job packing it and a container may get cracked, but they are the best when it comes to returns so no problem!!!<br /><br />MUST BUY! if looking for coconut oil!"
5,awesome,Best one yet.If you have not tried this one yet your missing out very tender and moist nuggets.The only negative is the 3.25 size bag is much to small.,positive,awesome. Best one yet.If you have not tried this one yet your missing out very tender and moist nuggets.The only negative is the 3.25 size bag is much to small.
5,Very pleased,The whole process was very smooth. We received the dog food in good condition and it arrived fasted than I would of thought. I'll order again.,positive,Very pleased. The whole process was very smooth. We received the dog food in good condition and it arrived fasted than I would of thought. I'll order again.
5,Soda I can feel good about,"A friend just gifted me some of this soda.<br />I've had stevia on hand for several years and have a plant growing in the garden now.<br />I'm not a huge rootbeer fan, but this tastes very good.<br />I'll be anxious to try some of the other flavors.<br /><br />Several years ago when I purchased my first stevia plant, it was too early to plant it outdoors so I had it growing in a window.<br />One of our cats ate every leaf off the plant and killed it, but the cat didn't have any reaction other than disappointment that the plant died and didn't provide more leaves to munch.<br /><br />I'd rather drink water than most of the diet sodas available.  It's wonderful to have an acceptable diet soda, even if it is pricey.",positive,"Soda I can feel good about. A friend just gifted me some of this soda.<br />I've had stevia on hand for several years and have a plant growing in the garden now.<br />I'm not a huge rootbeer fan, but this tastes very good.<br />I'll be anxious to try some of the other flavors.<br /><br />Several years ago when I purchased my first stevia plant, it was too early to plant it outdoors so I had it growing in a window.<br />One of our cats ate every leaf off the plant and killed it, but the cat didn't have any reaction other than disappointment that the plant died and didn't provide more leaves to munch.<br /><br />I'd rather drink water than most of the diet sodas available.  It's wonderful to have an acceptable diet soda, even if it is pricey."
5,"Excellent taste, great value","This is the perfect size for a beef jerky lover, especially using the subscribe option.  The peppered taste is bold and great.  The cuts of meat are tender so it's easy to chew.  Highly recommended.",positive,"Excellent taste, great value. This is the perfect size for a beef jerky lover, especially using the subscribe option.  The peppered taste is bold and great.  The cuts of meat are tender so it's easy to chew.  Highly recommended."
5,Great for Iced Tea...,"This makes excellent iced tea.  I bought it because local supermarkets only have orange pekoe tea in teabags, and I prefer loose tea for my batch iced tea maker.  Works great!",positive,"Great for Iced Tea.... This makes excellent iced tea.  I bought it because local supermarkets only have orange pekoe tea in teabags, and I prefer loose tea for my batch iced tea maker.  Works great!"
5,My favorite coffee,I first had this coffee years ago while serving in the Army in Germany.  It was the best I had tried then and it is still the best now.  Strong and smooth - a superb blend for real coffee lovers.,positive,My favorite coffee. I first had this coffee years ago while serving in the Army in Germany.  It was the best I had tried then and it is still the best now.  Strong and smooth - a superb blend for real coffee lovers.
4,BBQ- Tasty...but wish it was less salty.,"I got BBQ Popchips (3 oz- 12) during Amazon promotion, and the price came down to $14. These taste good, I just wish it was less salty. I would certainly purchase them if they came out with less salty version.",positive,"BBQ- Tasty...but wish it was less salty.. I got BBQ Popchips (3 oz- 12) during Amazon promotion, and the price came down to $14. These taste good, I just wish it was less salty. I would certainly purchase them if they came out with less salty version."
1,"Artificial flavor, made from concentrate","I got hooked on coconut water while traveling in the Philippines. Since then I've been trying to find a packaged product that tastes like the real deal. There are a few decent brands out there. This particular product, however, is made from concentrate and tastes just like the plastic it is packed in. I didn't even finish the bottle.",negative,"Artificial flavor, made from concentrate. I got hooked on coconut water while traveling in the Philippines. Since then I've been trying to find a packaged product that tastes like the real deal. There are a few decent brands out there. This particular product, however, is made from concentrate and tastes just like the plastic it is packed in. I didn't even finish the bottle."
4,"Tastes great, missing the clusters","First things first, this granola is TASTY. Straight out of the pouch. And for me, that's a BIG bonus since that's how I eat my granola probably 97% of the time. And honestly, I don't really eat granola because it's good for you---I eat it because it tastes good and is *somewhat* healthy (i.e. it's better to snack on this than chocolate cake, LOL).<br /><br />I was also looking forward to more clusters, since the description says ""Crunchy Clusters""--but it was mostly oat pieces and chocolate chunks, which makes it quite hard to eat straight from the bag without a spoon or making a complete mess (I actually took to just dumping it straight into my mouth).<br /><br />All that said, I would buy this again. I received this item as part of the Vine program, so I had no idea how much it cost. One true test of an item is to think how much you would pay for it, and THEN check to see what it sells for. After I tasted it, I thought I'd probably pay $3 to $4 a bag--well, at Amazon's current price, it works out to $3.60/pouch so it was dead on.",positive,"Tastes great, missing the clusters. First things first, this granola is TASTY. Straight out of the pouch. And for me, that's a BIG bonus since that's how I eat my granola probably 97% of the time. And honestly, I don't really eat granola because it's good for you---I eat it because it tastes good and is *somewhat* healthy (i.e. it's better to snack on this than chocolate cake, LOL).<br /><br />I was also looking forward to more clusters, since the description says ""Crunchy Clusters""--but it was mostly oat pieces and chocolate chunks, which makes it quite hard to eat straight from the bag without a spoon or making a complete mess (I actually took to just dumping it straight into my mouth).<br /><br />All that said, I would buy this again. I received this item as part of the Vine program, so I had no idea how much it cost. One true test of an item is to think how much you would pay for it, and THEN check to see what it sells for. After I tasted it, I thought I'd probably pay $3 to $4 a bag--well, at Amazon's current price, it works out to $3.60/pouch so it was dead on."
5,perfect,"these are my boyfriends favorite candy and they are never in stores, so i bought him the five lb bag. he LOVES them, and was astounded by the amount of them.",positive,"perfect. these are my boyfriends favorite candy and they are never in stores, so i bought him the five lb bag. he LOVES them, and was astounded by the amount of them."
5,Great product and great price,"I love this product. I used for my food, my skin and my lip, all worked very well. Great value!",positive,"Great product and great price. I love this product. I used for my food, my skin and my lip, all worked very well. Great value!"
5,My Favorite,"I have owned a Kuerig machine since before they were even a known brand.  I have tried every flavor out there but I keep coming back to the Chocolate Glazed Donut - it has a rich, smooth taste that is not too bitter and not too sweet.  If you like medium roast, flavored coffee then try this one out!",positive,"My Favorite. I have owned a Kuerig machine since before they were even a known brand.  I have tried every flavor out there but I keep coming back to the Chocolate Glazed Donut - it has a rich, smooth taste that is not too bitter and not too sweet.  If you like medium roast, flavored coffee then try this one out!"
1,Not what it is advertised to do.,was intended to increase breastmilk and even advertised as a supplement to do so.  NOPE....not at all didn't do any of that.,negative,Not what it is advertised to do.. was intended to increase breastmilk and even advertised as a supplement to do so.  NOPE....not at all didn't do any of that.
5,This is my favorite coffee now,"I have been drinking this coffee for two months now, and I have signed up for subscription service. It tastes very much like a vanilla latte from Starbucks. This is now my favorite coffee.",positive,"This is my favorite coffee now. I have been drinking this coffee for two months now, and I have signed up for subscription service. It tastes very much like a vanilla latte from Starbucks. This is now my favorite coffee."
5,Dogs approve!,"Our border collie needed 5 daily meds after surgery, which became impossible to administer because she kept spitting out pill pockets and cheese and anything else we tried - she could smell the meds inside. This is the only product she will gobble down! I am so grateful the vet had these to try. It made a world of difference!",positive,"Dogs approve!. Our border collie needed 5 daily meds after surgery, which became impossible to administer because she kept spitting out pill pockets and cheese and anything else we tried - she could smell the meds inside. This is the only product she will gobble down! I am so grateful the vet had these to try. It made a world of difference!"
4,Deceptive Description,"I assumed that the description of 9 pound box of assorted coffee beans referred to the weight of the coffee.  It does not.  Sure enough careful reading revealed that the weight is reflective of the entire box.  I paid for a cardboard box, two coffee mugs and eleven 8 ounce packages of assorted beans.  Deceptive!",positive,"Deceptive Description. I assumed that the description of 9 pound box of assorted coffee beans referred to the weight of the coffee.  It does not.  Sure enough careful reading revealed that the weight is reflective of the entire box.  I paid for a cardboard box, two coffee mugs and eleven 8 ounce packages of assorted beans.  Deceptive!"
5,Sweet Honey,"I purchased Lehua honey from Amazon for a special event.  It arrived on time, was very fresh with just the right amount of thickness.  It's delightfully sweet without being too strong or tangy.",positive,"Sweet Honey. I purchased Lehua honey from Amazon for a special event.  It arrived on time, was very fresh with just the right amount of thickness.  It's delightfully sweet without being too strong or tangy."
2,"Delicious, expensive, nutritionally misleading, poorly described","First, I want to say that I love these bars. They are delicious in a way that is unique to other treats and they are filling. I can eat one for breakfast and not be hungry for hours.<br /><br />HOWEVER, they are expensive. Now I don't mind paying for an expensive treat given that I am on Weight Watchers and stumbling onto this little gem of a filling treat at 60 calories per bar was like finding a dieters miracle.<br /><br />But for the price, I want to know that what the label says or what the Amazon description says, is, in fact, what I am getting. The labels, last time I ordered these, said, 60 calories, in bold print on the front of each bar. This time it says 150. Additionally, the Amazon description gives two conflicting nutritional explanations right within the same description. One line says ""Fig covered in dark chocolate; Delivering only 60 calories per pack; 2 grams of fiber; 1 gram protein; 2 grams total fat; 11 grams sugar"" while only 4 lines down it says, ""150 Calories per bar, 3 g Fiber; 5g Protein."" This is only the description online, the label itself has a couple more conflicting nutritional facts. The front of the label says, ""150g calories, 2g protein, 5g Fiber, 2g Fat, 26g Sugar."" The back of the label is another story entirely.<br /><br />Again, I love these bars but I pay a lot for them and for Weight Watchers and poorly reported information is derailing my progress and wasting my money and for this reason, I am giving it only 2 stars.<br /><br />Lastly, despite the description, these are not covered in chocolate. They are bars of fig with little bits of dark chocolate within (when you are lucky...often times I've opened bars where the chocolate was omitted.)",negative,"Delicious, expensive, nutritionally misleading, poorly described. First, I want to say that I love these bars. They are delicious in a way that is unique to other treats and they are filling. I can eat one for breakfast and not be hungry for hours.<br /><br />HOWEVER, they are expensive. Now I don't mind paying for an expensive treat given that I am on Weight Watchers and stumbling onto this little gem of a filling treat at 60 calories per bar was like finding a dieters miracle.<br /><br />But for the price, I want to know that what the label says or what the Amazon description says, is, in fact, what I am getting. The labels, last time I ordered these, said, 60 calories, in bold print on the front of each bar. This time it says 150. Additionally, the Amazon description gives two conflicting nutritional explanations right within the same description. One line says ""Fig covered in dark chocolate; Delivering only 60 calories per pack; 2 grams of fiber; 1 gram protein; 2 grams total fat; 11 grams sugar"" while only 4 lines down it says, ""150 Calories per bar, 3 g Fiber; 5g Protein."" This is only the description online, the label itself has a couple more conflicting nutritional facts. The front of the label says, ""150g calories, 2g protein, 5g Fiber, 2g Fat, 26g Sugar."" The back of the label is another story entirely.<br /><br />Again, I love these bars but I pay a lot for them and for Weight Watchers and poorly reported information is derailing my progress and wasting my money and for this reason, I am giving it only 2 stars.<br /><br />Lastly, despite the description, these are not covered in chocolate. They are bars of fig with little bits of dark chocolate within (when you are lucky...often times I've opened bars where the chocolate was omitted.)"
5,Toy Poodles Best Meal!,My little poddles love this brand and it's nice to know there is somethig out there that  they will not turn their nose up at!,positive,Toy Poodles Best Meal!. My little poddles love this brand and it's nice to know there is somethig out there that  they will not turn their nose up at!
